"Population","Location","VisitID","PlantID","IDtrackOLD","IDtrack","Date","year","ThisYearLabel","Latitude","Longitude","Altitude","CorrectedLatitude","CorrectedLongitude","CorrectedAltitude","Easting","Northing","DistEastofCentre","DistNorthOfCentre","HorzErr","VertErr","GPS","Comments","Alive","Perennial","FloweringStage","NumFloweringStems","NumVegetativeStems","EstimFlowers","FirstFlowered","StemHeight","LeavesToFirstFlower","TotalFlowers","TotalFruit","CutStems","AbortedFlowers","Red","Yellow","phenoCat","LocationManualUpdater","GPS_horz_corr_m","GPS_alt_corr_m","Direction_from_GPS"
"Cadi","Baga",0,"T0966","25822_T0966","2015_00001_T0966",2015-06-12,"2015",1,42.25751622,1.860981112,911.979,0,0,0,406049.847154443,4678996.62161692,0,0,0,0,1,"2 veg stems cut; main stem cut; flowers are on sidebranch","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0.9,0.2,"NE"
"Cadi","Baga",0,"T0964","25823_T0964","2015_00002_T0964",2015-06-12,"2015",1,42.25751951,1.861024387,911.931,0,0,0,406053.421553534,4678996.93920145,0,0,0,0,1,"","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",1.7,0.5,"North"
"Cadi","Baga",0,"T0911","25824_T0911","2015_00003_T0911",2015-06-12,"2015",1,42.25804191,1.861692456,918.248,0,0,0,406109.301916784,4679054.20788658,0,0,0,0,1,"","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",4,-0.1,"SW"
"Cadi","Baga",0,"T0973","25825_T0973","2015_00004_T0973",2015-06-12,"2015",1,42.25804371,1.861700393,917.939,0,0,0,406109.959261051,4679054.39900374,0,0,0,0,1,"","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",4,3,"SE"
"Cadi","Baga",0,"T0909","25826_T0909","2015_00005_T0909",2015-06-12,"2015",1,42.2580439,1.861695364,917.94,0,0,0,406109.544732056,4679054.42564321,0,0,0,0,1,"","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",4,-0.8,"SW"
"Cadi","Baga",0,"T0976","25827_T0976","2015_00006_T0976",2015-06-12,"2015",1,42.25804565,1.861696752,917.226,0,0,0,406109.66181591,4679054.61842645,0,0,0,0,1,"","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",2,-2,"SE"
"Cadi","Baga",0,"T0972","25828_T0972","2015_00007_T0972",2015-06-12,"2015",1,42.25804644,1.861696537,917.33,0,0,0,406109.645253979,4679054.70638185,0,0,0,0,1,"","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",2.5,-2,"SE"
"Cadi","Baga",0,"T0962","25829_T0962","2015_00008_T0962",2015-06-12,"2015",1,42.25804796,1.86169424,918.034,0,0,0,406109.45804391,4679054.87768818,0,0,0,0,1,"","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",2.5,-2.5,"East"
"Cadi","",0,"T0930","25830_T0930","2015_00009_T0930",2015-06-12,"2015",1,42.25804829,1.86169216,917.05,0,0,0,406109.286967281,4679054.91662251,0,0,0,0,1,"very tall and thick stem","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",2.2,-1.9,"East"
"Cadi","Baga",0,"T0967","25831_T0967","2015_00010_T0967",2015-06-12,"2015",1,42.25804864,1.861691275,917.684,0,0,0,406109.214488427,4679054.9564605,0,0,0,0,1,"","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",2.6,-2.8,"East"
"Cadi","Baga",0,"T0904","25832_T0904","2015_00011_T0904",2015-06-12,"2015",1,42.25805032,1.861667198,918.84,0,0,0,406107.231019398,4679055.16953749,0,0,0,0,1,"","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",1.5,2,"SW"
"Cadi","TruckStop",0,"T0945","25833_T0945","2015_00012_T0945",2015-06-12,"2015",1,42.2719242,1.853623827,1064.103,0,0,0,405464.516151125,4680604.56836149,0,0,0,0,1,"","Alive","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0.8,0.8,"West"
"Cadi","TruckStop",0,"T0951","25834_T0951","2015_00013_T0951",2015-06-12,"2015",1,42.27193188,1.853663194,1064.645,0,0,0,405467.774056044,4680605.37742336,0,0,0,0,1,"","Alive","yes",0,0,1,0,"",0,0,0,0,0,0,0,0,0,"0",0.5,1,"NW"
